epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,4460.62,0.70838,0.36429,0.82267,0.56423,0.56775,0.49336,0.25541,1.92889,1.59841,1.13799,0.0002105,0.0002105,0.0002105
86,4512.51,0.69009,0.35905,0.81939,0.57105,0.5268,0.48277,0.25139,1.97553,1.58737,1.17154,0.000198125,0.000198125,0.000198125
87,4563.77,0.69488,0.35884,0.82217,0.54201,0.56154,0.4686,0.24714,1.94744,1.81884,1.14642,0.00018575,0.00018575,0.00018575
88,4616.9,0.68789,0.35611,0.81898,0.61054,0.53671,0.48946,0.25422,1.94596,1.59879,1.14547,0.000173375,0.000173375,0.000173375
89,4669.24,0.6858,0.35651,0.81992,0.59479,0.54628,0.49215,0.25887,1.95012,1.61076,1.15492,0.000161,0.000161,0.000161
90,4720.6,0.68503,0.35528,0.81802,0.55571,0.57285,0.4913,0.25573,1.92935,1.56355,1.13523,0.000148625,0.000148625,0.000148625
91,4774.22,0.66447,0.34225,0.81835,0.53097,0.50979,0.45159,0.23065,1.96316,1.75046,1.15546,0.00013625,0.00013625,0.00013625
92,4825.18,0.64039,0.33368,0.8159,0.47734,0.53636,0.46751,0.2348,1.96334,1.64198,1.14825,0.000123875,0.000123875,0.000123875
93,4874.95,0.62342,0.32876,0.81275,0.47378,0.56191,0.47719,0.23616,1.99266,1.57117,1.16355,0.0001115,0.0001115,0.0001115
94,4926.05,0.61815,0.32608,0.81204,0.5017,0.55548,0.47881,0.23809,1.99152,1.61604,1.1568,9.9125e-05,9.9125e-05,9.9125e-05
95,4976.47,0.61453,0.32545,0.81117,0.481,0.55921,0.47442,0.23638,1.9733,1.62565,1.14986,8.675e-05,8.675e-05,8.675e-05
96,5026.92,0.60672,0.3215,0.8088,0.58123,0.50812,0.47785,0.23291,1.98624,1.60074,1.15972,7.4375e-05,7.4375e-05,7.4375e-05
97,5078.1,0.6041,0.32045,0.80915,0.51349,0.56316,0.49021,0.2373,2.00581,1.56775,1.1691,6.2e-05,6.2e-05,6.2e-05
98,5128.05,0.60299,0.31941,0.80833,0.56507,0.50157,0.47277,0.23082,1.98054,1.60036,1.14868,4.9625e-05,4.9625e-05,4.9625e-05
99,5179.53,0.59835,0.31887,0.80901,0.60233,0.51052,0.49245,0.23725,1.99012,1.54104,1.1575,3.725e-05,3.725e-05,3.725e-05
100,5229.58,0.5963,0.31772,0.80839,0.59581,0.5096,0.48911,0.23883,1.99627,1.56512,1.16012,2.4875e-05,2.4875e-05,2.4875e-05
